Sic_X,SIC_Code,Description
11030,1103,Manufacture of malt liqqours and malt
11040,1104,Manufacture of soft drinks; production of mineral waters and other bottled waters
,1200,Manufacture of tobacco products
,1311,Preparation and spinning of textile fibres
,1312,Weaving of textiles
,1313,Finishing of textiles
,1391,Manufacture of knitted and crocheted fabrics
,1392,"Manufacture of made up textile articles, except apparel"
,1393,Manufacture of carpets and rugs
,1394,"Manufacture of cordage, rope, twine and netting "
,1399,Manufacture of other texiles n.e.c
,1410,"Manufacture of wearing apparel, except fur apparel"
,1420,Manufacture of articels of fur
,1430,Manufacture of knitted and crocheted apparel
15110,1511,"Tanning and dressing of leather; dressing and dyeing of fur"
15120,1512,"Manufacture of luggage, handbags and the like, saddlery and harness"
15200,1520,"Manufacture of footwear"
16100,1610,"Sawmilling and planing of wood"
16210,1621,Manufacture of veneer sheets and wood-based panels
,1622,Manufacture of builders carpentry and joinery
,1623,Manufacture of wooden containers
,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
,1701,"Manufacture of pulp, paper, and paperboard"
,1702,"Manufacture of corrugated paper and paperboard, and of containers of paper and paperboard"
,1709,"Manufacture of other articles of paper and paperboard
"
,1811,Printing
,1812,Service activities related to printing
,1820,Reproduction of recorded media
,1910,"Manufacture of coke oven products"
,1920,Manufacture of refined petroleum products
,2011,Manufacture of basic chemicals 
,2012,Manufacture of fertilizers and nitrogen compounds
,2013,Manufacture of synthetic rubber in primary forms
,2021,Manufacture of pesticides and other agrochemical products
,2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
,2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations
"
,2029,Manufacture of other chemical products 
,2030,Manufacture of man-made fibres
,2100,"Manufacture of pharmaceauticals, medicinal chemical and botincal products"
,2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
,2219,Manufacture of other rubber products
,2220,Manufacture of plastic products
,2310,Manufacture of glass and glass products
,2391,Manufacture of refractory products
,2392,Manufacture of clay building materials
,2393,Manufacture of other porcelain and ceramic products
,2394,"Manufacture of cement, lime and plaster"
,2395,"Manufacture fo article of concrete, cement, and plaster"
,2396,"Cutting, shaping and finisgin of stone"
,2399,Manufacture of other non-metallic mineral products 
,2410,Manufacture of basic iron and steel
,2420,Manufacture of basic precious and other non-ferrous metals
,2431,Casting of iron and steel
,2432,Casting of non-ferrous metals
,2511,Manufacture of structural metal products
,2512,"Manufacture of tanks, reservoirs and containers of metal"
,2513,"Manufacture of steam generators, except central heating hot water boilers"
,2520,Manufacture of weapons and ammunition
25910,2591,"Forging,pressing,stamping and roll-forming of metal:powder metallurgy"
25920,2592,Treatment and coating of metals; machining
,2593,"Manufacture of cutlery, hand tools and general hardware"
,2599,Manufacture of other fabricated metal products n.e.c.
,2610,Manufacture of electronic components and boards
,2620,Manufacture of computers and peripheral equipment
,2630,Manufacture of communication equipment 
,2640,Manufacture of consumer electronics
,2651,"Manufacture of electronic measuring, testing and control equipment"
,2652,Manufacture of watches and clocks
,2660,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
,2670,Manufacture of optical precision instruments and photographic equipment
,2680,Manufacture of magnetic and optical media
,2710,"Manufacture of electric motors, generators and transformers and electricity distrution and control apparatus"
,2720,Manufacture of batteries and accumulators
,2731,Manufacture of fibre optic cables
,2732,Manufacture of other electronic and electric wires and cables
,2733,Manufacture of wiring devices
,2740,Manufacture of electric lighting equipment
,2750,Manufacture of domestic appliances
,2790,Manufacture of other electrical equipment
,2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
,2812,Manufacture of fluid power equipment
,2813,"Manufacture of pumps, compressors, taps and valves"
,2814,"Manufacture of bearings, gears, gearing and driving elements"
,2815,"Manufacture of ovens, furnaces and furnace burners"
,2816,Manufacture of lifting and handling equipment
,2817,Manufacture of office machinery and equipment (except computers and peripheral equipment)
,2818,Manufacture of power-driven hand tools
,2819,Manufacture of other general-purpose machinery
,2821,Manufacture of agricultural and forestry machinery 
,2822,Manufacture of metal forming machinery and machine tools
,2823,Manufacture of machinery for metallurgy
,2824,"Manufacture of machinery for mining, quarrying and construction"
,2825,"Manufacture of machinery for food, beverage and tobacco processing"
,2826,"Manufacture of machinery for textile, apparel and leather production"
,2829,Manufacture of special-purpose machinery
,2910,Manufacture of motor vehicles
,2920,Manufacture of bodies (coachwork) for motor vehicles; manifacture of trailers and semi-trailers
,2930,Manufacture of parts and accessories for motor vehicles
,3011,Building of ships and floating structures
,3012,Building of pleasure and sporting boats
,3020,Manufacture of railway locomotives and rolling stock
,3030,Manufacture of air and spacecraft and related machinery
,3040,Manufacture of military fighting vehicles
,3091,Manufacture of motorcycles
,3092,Manufacture of bicycles and invalid carriages
,3099,Manufacture of other transport equipment n.e.c.
,3100,Manufacture of furniture
,3211,Manufacture of jewellery and related articles
,3212,Manufacture of imitation jewellery and related articles
,3220,Manufacture of musical instruments
,3230,Manufacture of sports goods
,3240,Manufacture of games and toys
,3250,Manufacture of medical and dental instruments and supplies
,3290,Other manufacturing n.e.c.
,3311,Repair of fabricated metal products
,3312,Repair of machinery
,3313,Repair of electronic and optical equipment
,3314,Repair of electrical equipment
,3315,"Repair of transport equipment, except motor vehicles"
,3319,Repair of other equipment
,3320,Installation of industrial machinery and equipment
,3510,"Electric power generaion, transmission and distribution"
,3520,Manufacture of gas; distribution of gaseous fuels through mains
,3530,Steam and air conditioning supply
,3600,"Water collection, treatment, and supply"
,3700,Sewerage
,3811,Collection of non-hazardous waste
,3812,Collection of hazardous waste
,3821,Treatment and disposal of non-hazardous waste
,3822,Treatment and disposal of hazardous waste
,3830,Materials recovery 
,3900,Remediation activities and other waste management services
,4100,Construction of buildings
,4210,Construction of roads and railways
,4220,Construction of utility projects 
,4290,Construction of other eningeering projects 
,4311,Demolition
,4312,Site preparation
,4321,Electrical installation
,4322,"Plumbing, heat and air-conditioning installation"
,4329,Other construction installation
,4330,Building completion and finishing 
,4390,Other specialized construction activities
,4510,Sale of motor vehicles 
,4520,Maintenance and repair of motor vehicles
,4530,Sale trade of motor vehicle parts and accessories
,4540,"Sale, maintenance and repair of motorcycles and related parts and accessories"
,4550,Retail of automotive fuel in specialized stores
,4610,Wholesale on a contract of fee basis
,4620,Wholesale of agricultural raw materials and live animals
,4630,"Wholesale of food, beverages and tabacco"
,4641,"Wholesale of textiles, clothing and footware"
,4649,Whole sale other household goods
,4651,"Whole sale of computers, computer peripheral equipment and software"
,4652,Whole sale of electronic and telecommunications equipment and parts
,4653,"Wholesale of agricultural machinery, equipment and supplies"
,4659,Wholesale of other machinery and equipment 
,4661,"Wholesale of solid, liquid and gaseous fuels and related products"
,4662,Wholesale of metals and metal ores
,4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
,4669,Wholesale of waste and scrap and other products n.e.c
,4690,Non-specialised wholesale trade
,4711,"Retail sale in non-specialized stores with food, beverages or tabacco predominating"
,4719,Other retail sale in non-specialized stores
,4721,Retail sale of food in specialized stores
,4722,Retail sale of beverages in specialised stores
,4723,Retail sale of tobacco products in specialised stores
,4731,"Retail sale of computers, peripheral units and software and telelcommunications
"
,4732,Retail sale of audio and video equipment in specialised stores
,4741,Retail sale of textiles in specialized stores
,4742,"Retail sale of hardware, paints and glass in specialised stores"
,4743,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
,4749,Retail sale of electrical household appliances in specialised stores
,4751,"Retail sale of books, newspapers, and station in specialised stores
"
,4752,Retail sale of music and video recordings in specialised stores
,4753,"Retail sale of sports goods, fishing gear, camping goods, boats and bicycles"
,4754,Retail sale of games and toys in specialised stores
,4761,"Retail sale of clothing, footware and leather articles in specialized stores"
,4762,"Retail sale of pharmaceautical and medical goods, cosmetic and toilet articles in specialized stores"
,4763,Other retail sale of new goods in specialized stores
,4764,Retail sale of second-hand goods
,4771,"Retail sale via stalls and markets of food, beverages and tobacco products"
,4772,"Retail sale via stalls and markets of textiles, clothing and footwear"
,4779,Retail sale via stalls and markets of other goods
,4781,Retail sale via mail order houses or via internet
,4789,"Other retail sale not in stores, stalls or markets"
,4911,"Passenger rail transport, interurban"
,4912,Freight rail transport
,4921,Urban and suburban passenger transport
,4922,Other passenger land transport
,4923,Freight transport by road
,4930,Transport via pipe line
,5011,Sea and coastal passenger water transport
,5012,Sea and coastal freight water transport
,5021,Inland passenger water transport
,5110,Passenger air transport
,5120,Freight air transport
,5210,Warehousing and storage
,5221,Service activities incidental to land transportation
,5222,Service activities to water transportation
,5223,Service activities incidental to air transport 
,5224,Cargo handling 
,5229,Other transportation support activities
,5310,Postal activities 
,5320,Course actiivites
,5510,Short-term accommodation activities
,5520,"Camping grounds, recreational vehicle parks and trailer parks"
,5590,Other accommodation
,5610,Restraunts and mobile food service
,5621,Event catering
,5629,Other food service activities
,5630,Beverage serving activities
,5811,Book Publishing
,5812,Publishing of directories and mailing lists
,5813,"Publishing of newspapers, journals and periodicals"
,5819,Other publishing activities
,5820,"software publishing
"
,5911,"Motion picture,video and television programme production activities"
,5912,"Motion picture,video and television programme post-production activities"
,5913,"Motion picture,video and television programme distribution activities"
,5914,Motion picture projection actvities
,5920,"Sound recording and music publishing activities"
,6010,Radio broadcasting
,6020,Television programming and broadcasting activities
,6110,Wired telecommunications activities
,6120,Wireless telecommunications activities
,6130,Satellite telecommunications activities
,6190,Other telecommunications activities
,6201,Computer programming activities
,6202,Computer consultancy and computer facilities management activities
,6209,Other information technology and computer service activities
,6311,"Data processing, hosting and related activities"
,6312,Web portals
,6391,News agency activities
,6399,Other information service activities
,6411,Central banking
,6419,Other monetay activities
,6420,Activities holding companies
,6430,"Trusts, Funds, and similar financial entities"
,6491,Financial leasing
,6492,Other credit granting
,6499,"Other financial service activities, except insurance and pension funding activities"
,6511,Life insurance
,6512,Non-life insurance
,6520,Reinsurance
,6530,Pension funding
,6611,Administration of financial markets
,6612,Security and commodity contracts dealing activities
,6619,Other activities auxiliary to financial service activities
,6621,Risk and damage evaluation
,6622,Activities of insurance agents and brokers
,6629,"Other activities auxiliary to insurance and pension funding"
,6630,Fund management activities
,6810,Real estate activities with own or leased property
,6820,Real estate activities on a fee of contract basis
,6910,Legal Activities
,6920,"Accounting, bookkeeping and auditing activities, tax consultancy"
,7010,Acitivities of head offices
,7020,Management of consultancy activities
,7110,Architectural and engineering activities and related technical consultancy
,7120,Technical testing analysis
,7210,Research and experimental development on natural sciences and engineering
,7220,Research and experimental development on social sciences and humanities
,7310,Advertising
,7320,Market research and public opinion polling
,7410,Specialized design activities
,7420,Photographic activities
,7490,"Other professional, scientific and technical activities n.e.c"
,7500,Veterinary activities
,7710,Renting and leasing of cars and light motor vehicles (Without driver)
,7721,Renting and leasing of recreational and sports goods
,7722,Renting of video tapes and disks
,7729,Renting and leasing of other personal and household goods
,7730,"Renting and leasing of other machinery, equipment and tangible goods"
,7740,"Leasing of intellectual property and similar products, except copyright works"
,7810,Activities of employment placement agencies
,7820,Temporary employment agency activities
,7830,Other human resources provision
,7911,Travel agency activities
,7912,Tour operator activities
,7990,Other reservation service activities n.e.c.
,8010,Private security activities
,8020,Security systems service activities
,8030,Investigation activities
,8110,Combined facilities support activities
,8121,General cleaning of buildings
,8129,Other building and industrial cleaning activities
,8130,"Landscape care and maintenance service activities
"
,8211,Combined office administrative service activities
,8219,"Photocopying, document preparation and other specialised office support activities"
,8220,Activities of call centres
,8230,Organization of conventions and trade shows
,8291,Activities of collection agencies and credit bureaus
,8292,Packaging activities
,8299,Other business support service activities n.e.c
,8411,General public administration activities
,8412,"Regulation of health care, education, cultural and other social services, not incl. social security"
,8413,Regulation of and contribution to more efficient operation of business
,8414,Extra budgetary account n.e.c
,8421,Foreign affairs
,8422,Defence activities
,8423,Public order and safety activities
,8430,Compulsory social security activities
,8510,"Pre-primary education"
,8521,General secondary education
,8522,Technical and vocational secondary education
,8530,Higher education
,8541,Sports and recreation education
,8542,Cultural education
,8549,Other education n.e.c.
,8550,Educational support services
,8610,Hospital activities
,8620,Medical and dental practise activities
,8690,Other human health activities
,8710,Residential nursing care facilities 
,8720,"Residential care activities for mental retardation, mental health and substance abuse"
,8730,Residential care activities for the elderly and disabled 
,8790,Other residential care activities 
,8810,Social work activities without accommodation for the elderly and disabled
,8890,Other social work activities without accommodation
,9000,"Creative, arts and entertainment activities"
,9101,Libary and archives activities
,9102,Museums activities and Operation of historical sites and buildings
,9103,Botanical and zoological gardens and nature reserves activities
,9200,Gambling and betting activities
,9311,Operation of sports facilities
,9312,Activities of sport clubs
,9319,Other sports activities
,9321,Activities of amusement parks and theme parks
,9329,Other amusement and recreation activities n.e.c.
,9411,Activities of business and employers membership organizations
,9412,Activities of professional membership organizations
,9420,Activities of trade unions
,9491,Activities of religious organizations
,9492,Activities of political organizations
,9499,Activities of other membership organizations n.e.c.
,9511,Repair of computers and peripheral equipment
,9512,Repair of communication equipment
,9521,Repair of consumer electronics
,9522,Repair of household appliances and home and garden equipment
,9523,Repair of footwear and leather goods
,9524,Repair of furniture and home furnishings
,9529,Repair of other personal and household goods 
,9601,Washing and (dry-)cleaning of textile and fur products
,9602,Hairdressing and other beauty treatment
,9603,Funeral and related activities
,9609,Other service activities n.e.c.
,9700,Activities of households as employers of domestic personnel
,9810,Undifferentiated goods-producing activities of private households for own use
,9820,Undifferentiated service-producing activities of private households for own use
,9901,"Activities of extraterritorial organizations and bodies, not economically active, people, unemployed people etc."
